t,FR_rpm,FR_amp,FL_rpm,FL_amp,RR_rpm,RR_amp,RL_rpm,RL_amp
0.0000,0,-0.14501953125,0,-0.64208984375,0,-0.050506591796875,0,0.014373779296875
0.0113,0,-0.14501953125,0,-0.64208984375,0,-0.0162811279296875,0,0.014373779296875
0.0199,0,-0.14111328125,0,0.62060546875,0,-0.0162811279296875,0,0.014373779296875
0.0340,0,-0.14111328125,0,0.62060546875,0,0.07623291015625,0,0.232421875
0.0397,0,0.0090789794921875,0,0.3564453125,0,0.07623291015625,0,-0.1826171875
0.0518,0,0.0090789794921875,0,0.3564453125,0,-0.048675537109375,0,-0.1826171875
0.0623,0,-0.1201171875,0,0.265869140625,0,-0.048675537109375,0,0.056396484375
0.0732,0,-0.1201171875,0,0.265869140625,0,-0.0144195556640625,0,0.056396484375
0.0815,0,0.06396484375,0,0.265869140625,0,-0.0144195556640625,0,0.056396484375
0.0933,0,0.06396484375,0,-0.235107421875,0,0.0604248046875,0,0.166259765625
0.1018,0,0.067138671875,0,-0.235107421875,0,0.0604248046875,0,0.166259765625
0.1132,0,0.067138671875,0,-0.364990234375,0,0.09307861328125,0,-0.040679931640625
0.1202,0,-0.11541748046875,0,-0.364990234375,0,0.09307861328125,0,-0.040679931640625
0.1327,0,-0.11541748046875,0,-0.5390625,0,-0.057525634765625,0,0.1715087890625
0.1415,0,-0.1099853515625,0,-0.5390625,0,-0.057525634765625,0,0.1715087890625
0.1526,0,-0.1099853515625,0,-0.352783203125,0,-0.057525634765625,0,-0.0018625259399414062
0.1611,0,0.08489990234375,0,-0.352783203125,0,0.049560546875,0,-0.0018625259399414062
0.1722,0,0.08489990234375,0,0.1090087890625,0,0.049560546875,0,0.06072998046875
0.1813,0,0.08489990234375,0,0.1090087890625,0,-0.037811279296875,0,0.06072998046875
0.1920,0,-0.028717041015625,0,-0.50439453125,0,-0.037811279296875,0,0.1868896484375
0.2008,0,-0.028717041015625,0,-0.50439453125,0,-0.03265380859375,0,0.1868896484375
0.2152,0,0.087890625,0,-0.457763671875,0,-0.03265380859375,0,-0.0262451171875
0.2208,0,0.087890625,0,-0.457763671875,0,0.10992431640625,0,-0.0262451171875
0.2326,0,-0.08770751953125,0,-0.336181640625,0,0.10992431640625,0,0.1856689453125
0.2407,0,-0.08770751953125,0,-0.336181640625,0,-0.0321044921875,0,0.1856689453125
0.2549,0,-0.060760498046875,0,-0.378173828125,0,-0.0321044921875,0,-0.033203125
0.2620,0,-0.060760498046875,0,-0.378173828125,0,-0.02642822265625,0,-0.033203125
0.2733,0,0.10174560546875,0,0.34228515625,0,-0.02642822265625,0,-0.220947265625
0.2820,0,0.10174560546875,0,0.34228515625,0,-0.036590576171875,0,-0.220947265625
0.2961,0,0.0582275390625,0,-0.72119140625,0,-0.036590576171875,0,-0.11334228515625
0.3017,0,0.0582275390625,0,-0.72119140625,0,0.025909423828125,0,-0.11334228515625
0.3113,0,-0.2010498046875,0,-0.2025146484375,0,0.025909423828125,0,-0.22900390625
0.3214,0,-0.2010498046875,0,-0.2025146484375,0,0.047393798828125,0,-0.22900390625
0.3348,0,0.11944580078125,0,-0.2275390625,0,0.047393798828125,0,0.2034912109375
0.3398,0,0.11944580078125,0,-0.2275390625,0,0.046783447265625,0,0.2034912109375
0.3538,0,0.059539794921875,0,-0.430908203125,0,0.046783447265625,0,-0.0552978515625
0.3624,0,0.059539794921875,0,-0.430908203125,0,0.03564453125,0,-0.0552978515625
0.3720,0,-0.11724853515625,0,-0.40478515625,0,0.03564453125,0,-0.09796142578125
0.3823,0,-0.11724853515625,0,-0.40478515625,0,0.028106689453125,0,-0.09796142578125
0.3938,0,-0.12548828125,0,0.99169921875,0,0.028106689453125,0,-0.05877685546875
0.4045,0,-0.103515625,0,0.99169921875,0,0.10699462890625,0,-0.05877685546875
0.4232,0,-0.103515625,0,-0.094970703125,0,0.031097412109375,0,-0.10552978515625
0.4346,0,-0.1627197265625,0,-1.0576171875,0,0.031097412109375,0,-0.04876708984375
0.4417,0,-0.1627197265625,0,-1.0576171875,0,0.04656982421875,0,-0.04876708984375
0.4509,0,-0.1256103515625,0,0.2335205078125,0,0.04656982421875,0,-0.180419921875
0.4632,0,-0.1256103515625,0,0.2335205078125,0,0.0460205078125,0,-0.180419921875
0.4748,0,-0.016571044921875,0,-0.892578125,0,0.0460205078125,0,-0.1512451171875
0.4851,0,-0.016571044921875,0,-0.892578125,0,0.03765869140625,0,-0.1512451171875
0.4991,0,-0.1260986328125,0,0.0899658203125,0,0.041595458984375,0,-0.0972900390625
0.5050,0,0.025421142578125,0,0.0899658203125,0,0.041595458984375,0,0.12286376953125
0.5165,0,0.025421142578125,0,-0.4248046875,0,0.040985107421875,0,0.12286376953125
0.5284,0,0.03948974609375,0,-0.4248046875,0,0.040985107421875,0,-0.288818359375
0.5408,0,0.022003173828125,0,-0.352783203125,0,0.051666259765625,0,-0.288818359375
0.5514,0,0.022003173828125,0,-0.9345703125,0,0.051666259765625,0,-0.226806640625
0.5638,0,0.0452880859375,0,-0.9345703125,0,-0.0941162109375,0,-0.226806640625
0.5699,0,0.0452880859375,0,-0.9345703125,0,-0.0941162109375,0,0.2373046875
0.5819,0,0.069580078125,0,-0.1397705078125,0,-0.045379638671875,0,0.2373046875
0.5917,0,0.069580078125,0,-0.1397705078125,0,-0.045379638671875,0,-0.272216796875
0.6028,0,0.069580078125,0,-0.321044921875,0,0.043121337890625,0,-0.272216796875
0.6132,0,0.06317138671875,0,-0.321044921875,0,0.043121337890625,0,-0.0255126953125
0.6212,0,0.06317138671875,0,-0.277587890625,0,0.0736083984375,0,-0.0255126953125
0.6324,0,-0.2001953125,0,-0.277587890625,0,0.0736083984375,0,-0.0255126953125
0.6410,0,-0.2001953125,0,0.0924072265625,0,-0.0677490234375,0,-0.2010498046875
0.6544,0,0.056854248046875,0,0.0924072265625,0,-0.0677490234375,0,-0.2010498046875
0.6625,0,0.056854248046875,0,-0.18994140625,0,-0.05072021484375,0,0.186279296875
0.6737,0,0.0135498046875,0,-0.18994140625,0,-0.05072021484375,0,0.186279296875
0.6850,0,0.0135498046875,0,0.07574462890625,0,0.07666015625,0,0.2442626953125
0.6953,0,-0.0506591796875,0,0.07574462890625,0,0.07666015625,0,0.2442626953125
0.7057,0,-0.0506591796875,0,-0.95068359375,0,-0.10504150390625,0,0.147216796875
0.7140,0,0.10986328125,0,-0.95068359375,0,-0.10504150390625,0,0.147216796875
0.7214,0,0.10986328125,0,0.77294921875,0,-0.061920166015625,0,0.07568359375
0.7359,0,0.1253662109375,0,0.77294921875,0,-0.061920166015625,0,0.07568359375
0.7423,0,0.1253662109375,0,-0.285888671875,0,-0.0017480850219726562,0,0.283935546875
0.7534,0,-0.13525390625,0,-0.285888671875,0,-0.0017480850219726562,0,0.283935546875
0.7621,0,-0.13525390625,0,0.3046875,0,0.07415771484375,0,0.06793212890625
0.7743,0,0.074462890625,0,0.3046875,0,0.07415771484375,0,0.06793212890625
0.7825,0,0.074462890625,0,0.5224609375,0,0.03302001953125,0,-0.260009765625
0.7929,0,-0.0589599609375,0,0.5224609375,0,0.03302001953125,0,-0.260009765625
0.8019,0,-0.0589599609375,0,0.64111328125,0,0.03302001953125,0,-0.289794921875
0.8131,0,0.10601806640625,0,0.64111328125,0,0.1007080078125,0,-0.289794921875
0.8216,0,0.10601806640625,0,-0.1192626953125,0,0.1007080078125,0,0.09381103515625
