t,gyro_z,RF_rpm,RF_cur,FL_rpm,FL_cur,RR_rpm,RR_cur,RL_rpm,RL_cur
0.001,-0.0028,0,0.1339111328125,0,0.51611328125,0,0.072021484375,0,0.1903076171875
0.0076,-0.0028,0,-0.04443359375,0,-0.057525634765625,0,0.11968994140625,0,0.1903076171875
0.0092,-0.0046,0,-0.04443359375,0,-0.057525634765625,0,0.11968994140625,0,0.1903076171875
0.0147,-0.0046,0,-0.04443359375,0,-0.057525634765625,0,0.11968994140625,0,0.1903076171875
0.0187,-0.0046,0,-0.04443359375,0,-0.057525634765625,0,0.11968994140625,0,0.0941162109375
0.0237,0.0003,0,-0.04443359375,0,-0.057525634765625,0,0.11968994140625,0,0.0941162109375
0.0266,0.0003,0,-0.04736328125,0,-0.057525634765625,0,0.1214599609375,0,0.0941162109375
0.0274,0.0041,0,-0.04736328125,0,-0.057525634765625,0,0.1214599609375,0,0.0941162109375
0.0341,0.0041,0,-0.04736328125,0,-0.057525634765625,0,0.1214599609375,0,0.0941162109375
0.0378,0.0041,0,-0.04736328125,0,-0.2308349609375,0,0.1214599609375,0,0.146484375
0.0385,-0.0032,0,-0.04736328125,0,-0.2308349609375,0,0.1214599609375,0,0.146484375
0.0467,-0.0032,0,-0.187255859375,0,-0.2308349609375,0,0.0931396484375,0,0.146484375
0.0475,0.006,0,-0.187255859375,0,-0.2308349609375,0,0.0931396484375,0,0.146484375
0.0531,0.006,0,-0.187255859375,0,-0.2308349609375,0,0.0931396484375,0,0.146484375
0.0574,0.006,0,-0.187255859375,0,-0.240478515625,0,0.0931396484375,0,0.07220458984375
0.058,0.0034,0,-0.187255859375,0,-0.240478515625,0,0.0931396484375,0,0.07220458984375
0.0661,0.0034,0,-0.11590576171875,0,4.6484375,0,1.1025390625,0,0.07220458984375
0.0696,-0.0,0,-0.11590576171875,0,4.6484375,0,1.1025390625,0,0.07220458984375
0.0706,-0.0,0,-0.11590576171875,0,4.6484375,0,1.1025390625,0,0.07220458984375
0.0751,-0.0,0,-0.11590576171875,0,4.6484375,0,1.1025390625,0,4.84375
0.0782,-0.0,0,-0.11590576171875,0,4.6484375,0,1.1025390625,0,4.84375
0.0791,0.0042,0,-0.11590576171875,0,4.6484375,0,1.1025390625,0,4.84375
0.0886,0.1031,0,-0.11590576171875,0,4.6484375,0,1.1025390625,0,4.84375
0.089,0.1031,-1,6.02734375,0,4.6484375,0,1.1025390625,0,4.84375
0.0958,0.1031,-1,6.02734375,0,4.6484375,0,1.1025390625,0,4.84375
0.099,0.1452,-1,6.02734375,0,4.6484375,0,1.1025390625,0,4.84375
0.0995,0.1452,-1,6.02734375,0,7.765625,-3,7.1484375,0,9.140625
0.1062,0.1452,-17,7.421875,0,7.765625,-3,7.1484375,0,9.140625
0.1089,0.1264,-17,7.421875,0,7.765625,-3,7.1484375,0,9.140625
0.1139,0.1264,-17,7.421875,0,7.1171875,-19,5.83203125,5,6.40625
0.1183,0.1264,-17,7.421875,0,7.1171875,-19,5.83203125,5,6.40625
0.1214,0.0567,-17,7.421875,0,7.1171875,-19,5.83203125,5,6.40625
0.1268,0.0567,-6,8.1328125,0,7.1171875,-19,5.83203125,5,6.40625
0.128,0.023,-6,8.1328125,0,7.1171875,-19,5.83203125,5,6.40625
0.1343,0.023,-6,8.1328125,7,6.58984375,-1,8.7890625,17,7.02734375
0.139,0.023,-6,8.1328125,7,6.58984375,-1,8.7890625,17,7.02734375
0.1419,-0.0167,-6,8.1328125,7,6.58984375,-1,8.7890625,17,7.02734375
0.1482,-0.0167,-3,8.7265625,7,6.58984375,-1,8.7890625,17,7.02734375
0.1504,-0.0067,-3,8.7265625,7,6.58984375,-1,8.7890625,17,7.02734375
0.1568,-0.0067,-3,8.7265625,7,6.58984375,-1,8.7890625,17,7.02734375
0.1616,0.006,-3,8.7265625,7,6.58984375,-1,8.7890625,17,7.02734375
0.1622,0.006,-3,8.7265625,16,7.4921875,0,8.6875,0,9.8359375
0.1692,0.0268,-3,8.7265625,16,7.4921875,0,8.6875,0,9.8359375
0.1696,0.0268,-1,8.453125,16,7.4921875,0,8.6875,0,9.8359375
0.1763,0.0268,-1,8.453125,16,7.4921875,0,8.6875,0,9.8359375
0.1811,0.0096,-1,8.453125,16,7.4921875,0,8.6875,0,9.8359375
0.1816,0.0096,-1,8.453125,1,9.28125,2,9.0390625,0,9.8359375
0.1893,0.0046,-1,8.453125,1,9.28125,2,9.0390625,0,9.8359375
0.1898,0.0046,0,8.578125,1,9.28125,2,9.0390625,0,8.625
0.1957,0.0046,0,8.578125,1,9.28125,2,9.0390625,0,8.625
0.2007,0.0046,0,8.578125,0,8.828125,6,9.5625,0,8.625
0.2014,0.007,0,8.578125,0,8.828125,6,9.5625,0,8.625
0.2082,0.007,0,8.65625,0,8.828125,6,9.5625,0,8.640625
0.2096,-0.0025,0,8.65625,0,8.828125,6,9.5625,0,8.640625
0.2154,-0.0025,0,8.65625,0,8.828125,6,9.5625,0,8.640625
