t,FR_rpm,FR_amp,FL_rpm,FL_amp,RR_rpm,RR_amp,RL_rpm,RL_amp
0.0000,0,0.09747314453125,0,0.41259765625,0,0.05657958984375,0,0.1746826171875
0.0120,0,0.1455078125,0,-0.146728515625,0,-0.0229034423828125,0,-0.25732421875
0.0184,0,0.1455078125,0,0.046478271484375,0,-0.0229034423828125,0,-0.25732421875
0.0316,0,0.1455078125,0,0.046478271484375,0,-0.0445556640625,0,0.286865234375
0.0372,0,0.1470947265625,0,-0.073974609375,0,-0.0445556640625,0,0.286865234375
0.0513,0,0.1470947265625,0,-0.073974609375,0,0.047821044921875,0,0.1085205078125
0.0578,0,0.15771484375,0,0.15478515625,0,0.047821044921875,0,0.1085205078125
0.0700,0,0.15771484375,0,0.15478515625,0,-0.05877685546875,0,0.1085205078125
0.0789,0,0.036376953125,0,-0.08349609375,0,-0.05877685546875,0,0.1322021484375
0.0895,0,0.036376953125,0,-0.08349609375,0,0.07537841796875,0,0.1322021484375
0.0990,0,0.1658935546875,0,0.1541748046875,0,0.07537841796875,0,-0.1849365234375
0.1090,0,0.1658935546875,0,0.1541748046875,0,0.0533447265625,0,-0.1849365234375
0.1195,0,0.1796875,0,0.3232421875,0,0.0533447265625,0,0.0654296875
0.1303,0,0.1796875,0,0.3232421875,0,0.101806640625,0,0.0654296875
0.1386,0,0.157470703125,0,0.3232421875,0,0.101806640625,0,0.1552734375
0.1499,0,0.157470703125,0,-0.89990234375,0,0.08990478515625,0,0.1552734375
0.1580,0,0.2158203125,0,-0.89990234375,0,0.08990478515625,0,-0.1337890625
0.1693,0,0.2158203125,0,0.306640625,0,0.08990478515625,0,-0.1337890625
0.1800,0,0.11529541015625,0,0.50439453125,0,-0.068115234375,0,-0.025360107421875
0.1905,0,0.11529541015625,0,0.50439453125,0,0.058013916015625,0,-0.025360107421875
0.2036,0,-0.1484375,0,-0.60009765625,0,0.058013916015625,0,-0.256591796875
0.2111,0,-0.1484375,0,-0.60009765625,0,0.07818603515625,0,-0.256591796875
0.2197,0,0.15625,0,-0.60009765625,0,0.07818603515625,0,0.04608154296875
0.2313,0,0.15625,0,0.54052734375,0,-0.0679931640625,0,0.04608154296875
0.2405,0,-0.2115478515625,0,0.54052734375,0,-0.0679931640625,0,0.039886474609375
0.2512,0,-0.2115478515625,0,0.10418701171875,0,0.047576904296875,0,0.039886474609375
0.2700,0,0.023529052734375,0,-0.5390625,0,0.057464599609375,0,0.193603515625
0.2782,0,0.1156005859375,0,-0.5390625,0,0.057464599609375,0,0.196533203125
0.2895,0,0.1156005859375,0,0.2242431640625,0,0.057464599609375,0,0.196533203125
0.3004,0,0.1156005859375,0,0.2242431640625,0,-0.042877197265625,0,0.196533203125
0.3096,0,-0.1268310546875,0,0.1158447265625,0,-0.042877197265625,0,0.187255859375
0.3183,0,-0.1268310546875,0,0.1158447265625,0,-0.0521240234375,0,0.187255859375
0.3315,0,-0.04107666015625,0,0.447265625,0,-0.0521240234375,0,0.1485595703125
0.3386,0,0.06939697265625,0,0.447265625,0,0.0609130859375,0,-0.31396484375
0.3499,0,0.06939697265625,0,0.4599609375,0,0.0609130859375,0,-0.31396484375
0.3585,0,0.06939697265625,0,0.4599609375,0,-0.07373046875,0,0.18359375
0.3682,0,0.11798095703125,0,0.30859375,0,-0.07373046875,0,0.18359375
0.3787,0,0.12432861328125,0,0.30859375,0,0.0675048828125,0,0.2529296875
0.3921,0,0.12432861328125,0,0.3466796875,0,0.0675048828125,0,0.2529296875
0.3989,0,0.0310211181640625,0,0.3466796875,0,0.0797119140625,0,0.06732177734375
0.4124,0,0.0310211181640625,0,0.1597900390625,0,0.06402587890625,0,0.06732177734375
0.4301,0,-0.06451416015625,0,0.353515625,0,0.06402587890625,0,0.1658935546875
0.4382,0,0.058074951171875,0,0.353515625,0,0.0223388671875,0,-0.10406494140625
0.4516,0,0.058074951171875,0,0.424560546875,0,0.0223388671875,0,-0.10406494140625
0.4615,0,-0.034820556640625,0,0.424560546875,0,0.058837890625,0,0.214599609375
0.4719,0,-0.034820556640625,0,0.39990234375,0,0.058837890625,0,0.214599609375
0.4824,0,0.1063232421875,0,0.39990234375,0,-0.017303466796875,0,0.214599609375
0.5015,0,0.09857177734375,0,0.3193359375,0,-0.09991455078125,0,0.1617431640625
0.5106,0,0.09857177734375,0,-0.1043701171875,0,-0.09991455078125,0,0.1617431640625
0.5189,0,0.07781982421875,0,-0.1043701171875,0,-0.09869384765625,0,0.257568359375
0.5301,0,0.07781982421875,0,0.184326171875,0,-0.09869384765625,0,0.257568359375
0.5394,0,-0.1318359375,0,0.184326171875,0,0.043487548828125,0,-0.09820556640625
0.5510,0,-0.1318359375,0,-0.09814453125,0,0.043487548828125,0,-0.09820556640625
0.5589,0,-0.1318359375,0,-0.09814453125,0,0.02679443359375,0,-0.09820556640625
0.5700,0,0.1141357421875,0,0.2091064453125,0,0.02679443359375,0,0.003173828125
0.5833,0,0.1141357421875,0,0.2091064453125,0,-0.054351806640625,0,0.003173828125
0.5905,0,-0.017822265625,0,-0.153564453125,0,-0.054351806640625,0,0.1334228515625
0.6004,0,-0.1746826171875,0,-0.153564453125,0,0.060699462890625,0,0.1334228515625
0.6106,0,-0.1746826171875,0,0.332763671875,0,0.060699462890625,0,-0.052886962890625
0.6220,0,-0.0091400146484375,0,0.332763671875,0,0.044281005859375,0,-0.22998046875
0.6314,0,-0.0091400146484375,0,-0.2471923828125,0,0.044281005859375,0,-0.22998046875
0.6422,0,-0.0091400146484375,0,-0.2471923828125,0,0.048797607421875,0,-0.22998046875
0.6562,0,0.050537109375,0,-0.810546875,0,0.048797607421875,0,-0.09808349609375
0.6635,0,0.050537109375,0,-0.810546875,0,-0.0189056396484375,0,-0.09808349609375
0.6714,0,0.0750732421875,0,0.23486328125,0,-0.0189056396484375,0,-0.317138671875
0.6833,0,0.0750732421875,0,0.23486328125,0,-0.046112060546875,0,-0.317138671875
0.6940,0,-0.03814697265625,0,0.23486328125,0,-0.046112060546875,0,0.117431640625
0.7145,0,0.12359619140625,0,0.499755859375,0,-0.040130615234375,0,0.1483154296875
0.7238,0,0.12359619140625,0,0.499755859375,0,-0.02862548828125,0,0.1483154296875
0.7313,0,-0.0280609130859375,0,-0.62109375,0,-0.02862548828125,0,-0.16259765625
0.7440,0,-0.0280609130859375,0,-0.62109375,0,0.06964111328125,0,-0.16259765625
0.7519,0,0.0596923828125,0,-0.440185546875,0,0.06964111328125,0,0.04010009765625
0.7712,0,-0.04608154296875,0,-0.440185546875,0,0.0259857177734375,0,0.10137939453125
0.7794,0,-0.04608154296875,0,-0.1995849609375,0,0.059600830078125,0,0.10137939453125
0.7916,0,0.1234130859375,0,-0.1995849609375,0,0.059600830078125,0,0.08880615234375
0.8005,0,0.1234130859375,0,0.57080078125,0,0.05975341796875,0,0.08880615234375
0.8105,0,0.04254150390625,0,-0.032440185546875,0,0.05975341796875,0,-0.308349609375
0.8192,0,0.04254150390625,0,-0.032440185546875,0,-0.0323486328125,0,-0.308349609375
0.8316,0,-0.03436279296875,0,-0.07958984375,0,-0.0323486328125,0,0.03564453125
0.8389,0,-0.03436279296875,0,-0.07958984375,0,-0.0235137939453125,0,0.03564453125
0.8501,0,-0.0648193359375,0,-0.07958984375,0,-0.0235137939453125,0,-0.16357421875
