t,FR_rpm,FR_amp,FL_rpm,FL_amp,RR_rpm,RR_amp,RL_rpm,RL_amp
0.0000,0,-0.06317138671875,0,-0.028472900390625,0,-0.0130767822265625,0,-0.0435791015625
0.0099,0,-0.2724609375,0,0.1314697265625,0,-0.0130767822265625,0,-0.0435791015625
0.0198,0,-0.2724609375,0,0.1314697265625,0,0.06304931640625,0,0.196044921875
0.0308,0,0.109375,0,-0.1656494140625,0,0.06304931640625,0,0.196044921875
0.0382,0,0.109375,0,-0.1656494140625,0,0.022003173828125,0,-0.213134765625
0.0504,0,-0.044189453125,0,0.022979736328125,0,0.022003173828125,0,-0.213134765625
0.0579,0,-0.044189453125,0,0.022979736328125,0,-0.04248046875,0,-0.3203125
0.0717,0,-0.1463623046875,0,-0.3173828125,0,-0.04248046875,0,-0.3203125
0.0810,0,-0.1463623046875,0,-0.3173828125,0,-0.04150390625,0,-0.03765869140625
0.0910,0,-0.30224609375,0,0.0782470703125,0,-0.04150390625,0,-0.03765869140625
0.0986,0,-0.30224609375,0,0.0782470703125,0,0.038299560546875,0,-0.22509765625
0.1107,0,0.13134765625,0,-0.307861328125,0,0.038299560546875,0,-0.22509765625
0.1179,0,0.13134765625,0,-0.307861328125,0,0.044342041015625,0,-0.1441650390625
0.1291,0,0.04827880859375,0,-0.423095703125,0,0.044342041015625,0,-0.1441650390625
0.1408,0,0.04827880859375,0,-0.423095703125,0,0.02105712890625,0,0.288330078125
0.1507,0,0.04827880859375,0,-0.44287109375,0,0.02105712890625,0,0.288330078125
0.1603,0,-0.04815673828125,0,-0.44287109375,0,-0.054443359375,0,0.288330078125
0.1703,0,-0.140380859375,0,0.2744140625,0,-0.054443359375,0,0.117919921875
0.1792,0,-0.140380859375,0,0.2744140625,0,0.0482177734375,0,0.117919921875
0.1887,0,0.214111328125,0,0.3037109375,0,0.0482177734375,0,0.1685791015625
0.1985,0,0.214111328125,0,0.3037109375,0,-0.057586669921875,0,0.1685791015625
0.2112,0,0.214111328125,0,0.3037109375,0,-0.057586669921875,0,-0.16845703125
0.2193,0,0.1002197265625,0,-0.2252197265625,0,0.063720703125,0,-0.16845703125
0.2301,0,0.10284423828125,0,0.2353515625,0,0.063720703125,0,-0.054931640625
0.2404,0,0.10284423828125,0,0.2353515625,0,-0.037109375,0,-0.054931640625
0.2504,0,0.053253173828125,0,0.2353515625,0,-0.037109375,0,0.04736328125
0.2608,0,0.053253173828125,0,0.273193359375,0,-0.074951171875,0,0.04736328125
0.2718,0,0.053253173828125,0,0.273193359375,0,-0.074951171875,0,-0.1446533203125
0.2785,0,0.0831298828125,0,0.301513671875,0,0.08026123046875,0,-0.1446533203125
0.2911,0,0.0831298828125,0,0.301513671875,0,0.08026123046875,0,-0.2685546875
0.2980,0,0.01190948486328125,0,0.180419921875,0,-0.09454345703125,0,-0.2685546875
0.3126,0,0.01190948486328125,0,0.180419921875,0,-0.09454345703125,0,-0.135986328125
0.3230,0,0.07568359375,0,-0.1907958984375,0,0.042083740234375,0,-0.135986328125
0.3309,0,0.027435302734375,0,-0.1907958984375,0,0.042083740234375,0,-0.1409912109375
