t,FR_rpm,FR_amp,FL_rpm,FL_amp,RR_rpm,RR_amp,RL_rpm,RL_amp
0.0000,0,-0.038330078125,0,-0.486328125,0,-0.0302581787109375,0,0.0
0.0083,0,-0.038330078125,0,0.358154296875,0,0.055938720703125,0,0.0
0.0151,0,0.10614013671875,0,0.358154296875,0,0.055938720703125,0,0.0
0.0240,0,0.10614013671875,0,0.1285400390625,0,0.07830810546875,0,0.0
0.0361,0,-0.226318359375,0,0.1285400390625,0,0.07830810546875,0,0.0
0.0458,0,-0.226318359375,0,-0.418212890625,0,-0.038665771484375,0,0.0
0.0562,0,0.0831298828125,0,-0.418212890625,0,-0.038665771484375,0,0.0
0.0671,0,0.0831298828125,0,0.30615234375,0,0.04083251953125,0,0.0
0.0757,0,0.127685546875,0,0.30615234375,0,0.04083251953125,0,0.0
0.0831,0,0.127685546875,0,0.2454833984375,0,0.029998779296875,0,0.0
0.0972,0,0.1507568359375,0,0.2454833984375,0,0.029998779296875,0,0.0
0.1059,0,0.1507568359375,0,0.2454833984375,0,-0.0660400390625,0,0.0
0.1152,0,-0.239013671875,0,0.400390625,0,-0.0660400390625,0,0.0
0.1253,0,-0.239013671875,0,0.400390625,0,0.0274810791015625,0,0.0
0.1374,0,-0.06842041015625,0,0.019866943359375,0,0.0274810791015625,0,0.0
0.1450,0,-0.06842041015625,0,0.019866943359375,0,-0.0269012451171875,0,0.0
0.1540,0,-0.0384521484375,0,-0.387451171875,0,-0.0269012451171875,0,0.0
0.1635,0,-0.0384521484375,0,0.088623046875,0,-0.040130615234375,0,0.0
0.1743,0,-0.0849609375,0,0.088623046875,0,-0.040130615234375,0,0.0
0.1842,0,-0.0849609375,0,0.088623046875,0,0.06915283203125,0,0.0
0.1948,0,-0.365478515625,0,0.271728515625,0,0.06915283203125,0,0.0
0.2042,0,-0.365478515625,0,0.271728515625,0,-0.00479888916015625,0,0.0
0.2172,0,-0.155517578125,0,-0.341796875,0,-0.00479888916015625,0,0.0
0.2238,0,-0.155517578125,0,-0.341796875,0,-0.0560302734375,0,0.0
0.2338,0,0.1630859375,0,-0.35693359375,0,-0.0560302734375,0,0.0
0.2440,0,0.1630859375,0,-0.35693359375,0,0.08123779296875,0,0.0
0.2536,0,-0.326416015625,0,0.1474609375,0,0.08123779296875,0,0.0
0.2636,0,-0.326416015625,0,0.1474609375,0,-0.019012451171875,0,0.0
0.2804,0,0.11016845703125,0,-0.2476806640625,0,-0.019012451171875,0,0.0
0.2874,0,0.11016845703125,0,-0.2476806640625,0,0.041717529296875,0,0.0
0.2934,0,-0.2249755859375,0,-0.81103515625,0,0.041717529296875,0,0.0
